ปฏิทินการเตรียมสหกิจศึกษา ภาคการศึกษาที่ 1/2569,,,,,
และการออกปฏิบัติงานสหกิจศึกษา ภาคการศึกษาที่ 2/2569 (พฤศจิกายน 2569 - มีนาคม 2570),,,,,
สาขาวิชาวิศวกรรมคอมพิวเตอร์  คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม มหาวิทยาลัยราชภัฏพิบูลสงคราม,,,,,
,,,,,
ลำดับ,กิจกรรม,ระยะเวลา,,ผู้รับผิดชอบ,หมายเหตุ
,,4 เดือน,6 เดือน,,
1,อบรมเตรียมความพร้อม,"xx มกราคม 2569 (เวลา 09.00 น.)
ณ ห้องคอมพิวเตอร์ ชั้น 1 (IT106) สถาบันเทคโนโลยีดิจิทัล",,อาจารย์ประจำหลักสูตร,
2,เข้าร่วมโครงการ สัมมนาหลังปฏิบัติสหกิจศึกษา และปัจฉิมนิเทศนักศึกษาจบการศึกษา ประจำปีการศึกษา 2568 สาขาวิชาวิศวกรรมคอมพิวเตอร์ (ครั้งที่ 1),"xx มกราคม 2569 (เวลา 08.30 น.)
ณ Co-Working Space สถาบันเทคโนโลยีดิจิทัล",,อาจารย์ประจำหลักสูตร,
3,อบรมเตรียมความพร้อมเรื่องบุคลิกภาพและการนำเสนอก่อนออกปฏิบัติงานสหกิจศึกษา,แจ้งให้ทราบภายหลัง ,,อาจารย์ประจำหลักสูตร,
4,"นักศึกษายื่นคำร้องขอออกปฏิบัติสหกิจศึกษาฯ เสนอต่ออาจารย์ประจำหลักสูตร ผ่าน 
Google Form :",9 กุมภาพันธ์ -  30 มิถุนายน 2569,,อาจารย์ประจำหลักสูตร,หากนักศึกษายื่นคำร้องฯ (ครั้งที่ 1) เกินระยะเวลาที่กำหนด จะไม่อนุญาตให้ออกปฏิบัติสหกิจศึกษาในภาคการศึกษา 2/2569
5,ทดสอบ/สัมภาษณ์ เพื่อคัดเลือกนักศึกษาที่มี ความรู้ ทักษะ และความพร้อม สอดคล้องกับความต้องการของสถานประกอบการ,9 กุมภาพันธ์ -  30 มิถุนายน 2569,,อาจารย์ประจำหลักสูตร,
6,ประกาศผลการพิจารณาคำร้องฯ,ทุกวันศกร์ (ประกาศผลสัปดาห์ละ 1 ครั้ง),,อาจารย์ประจำหลักสูตร,
7,เสนอคณะ (คุณอมรรัตน์) ออกเอกสารคำร้องฯ ไปยังหน่วยงาน/สถานประกอบการโดยคณะ,9 กุมภาพันธ์ -  30 มิถุนายน 2569,,คุณอมรรัตน์ คล้ายสอน,
8,แจ้งผลตอบรับจากหน่วยงาน/สถานประกอบการ,9 กุมภาพันธ์ -  30 มิถุนายน 2569,,คุณอมรรัตน์ คล้ายสอน,
9,ปฐมนิเทศก่อนออกปฏิบัติสหกิจศึกษา,25 พฤษภาคม 2569,,อาจารย์ประจำหลักสูตร,**กำหนดการอาจมีการเปลี่ยนแปลงตามความเหมาะสม
10,ระยะเวลาการออกปฏิบัติสหกิจศึกษา,2 พ.ย. 2569 -  5 มี.ค. 2570,พ.ย. 2569 -  พ.ค. 2570,อาจารย์ประจำหลักสูตร,
11,กำหนดส่ง แบบ coop_05,"ภายในสัปดาห์ที่ 1 
(หลังจากเริ่มปฏิบัติงาน)","ภายในสัปดาห์ที่ 1 
(หลังจากเริ่มปฏิบัติงาน)",อาจารย์ประจำหลักสูตร,ระยะเวลาการส่งอาจเร็ว หรือช้ากว่าที่กำหนดได้ ขึ้นอยู่กับสถานประกอบการเห็นเหมาะสม
12,กำหนดส่ง แบบ coop_06,"ภายในสัปดาห์ที่ 2
(หลังจากเริ่มปฏิบัติงาน)","ภายในสัปดาห์ที่ 2
(หลังจากเริ่มปฏิบัติงาน)",อาจารย์ประจำหลักสูตร,
13,กำหนดส่ง แบบ coop_07,รายงานทุกสัปดาห์ ตั้งแต่เริ่มปฏิบัติงาน,,อาจารย์ประจำหลักสูตร,
14,กำหนดส่ง แบบ coop_08,"ภายในสัปดาห์ที่ 6-8
(หลังจากเริ่มปฏิบัติงาน)","ภายในสัปดาห์ที่ 6-8
(หลังจากเริ่มปฏิบัติงาน)",อาจารย์ประจำหลักสูตร,
15,กำหนดส่ง แบบ coop_13,"ภายในสัปดาห์ที่ 12
(หลังจากเริ่มปฏิบัติงาน)","ภายในสัปดาห์ที่ 12
(หลังจากเริ่มปฏิบัติงาน)",อาจารย์ประจำหลักสูตร,
16,กำหนดออกนิเทศสหกิจศึกษา,กุมภาพันธ์ 2570,มีนาคม - เมษายน 2570,อาจารย์ประจำหลักสูตร,**กำหนดการอาจมีการเปลี่ยนแปลงตามความเหมาะสม
17,โครงการสัมมนาหลังปฏิบัติสหกิจศึกษา,ต้นเดือน มีนาคม 2570,ต้นเดือน มีนาคม 2570,อาจารย์ประจำหลักสูตร,**กำหนดการอาจมีการเปลี่ยนแปลงตามความเหมาะสม
